date,symbol,close,change_percent,open,high,low,volume,source,timestamp
2025-11-26,UHEWA,606.2,-0.61,617.5,597.8,597.8,33443.0,merolagani_daily,2025-11-26 00:39:42
2025-11-26,ULBSL,3819.0,-0.73,3820.0,3749.0,3770.1,852.0,merolagani_daily,2025-11-26 00:39:42
2025-11-26,ULHC,470.0,3.27,474.0,446.1,446.1,21494.0,merolagani_daily,2025-11-26 00:39:42
2025-11-26,UMHL,541.2,0.22,547.0,540.0,547.0,27949.0,merolagani_daily,2025-11-26 00:39:42
2025-11-26,UMRH,568.0,0.53,568.0,559.0,565.0,10732.0,merolagani_daily,2025-11-26 00:39:42
2025-11-26,UNHPL,511.8,0.57,524.2,504.0,519.0,364809.0,merolagani_daily,2025-11-26 00:39:42
2025-11-26,UNL,47350.0,1.61,47400.0,47350.0,47400.0,30.0,merolagani_daily,2025-11-26 00:39:42
2025-11-26,UNLB,2005.0,-0.2,2009.0,1975.0,2000.0,578.0,merolagani_daily,2025-11-26 00:39:42
2025-11-26,UPCL,381.0,1.6,381.9,369.4,375.1,158855.0,merolagani_daily,2025-11-26 00:39:42
2025-11-26,UPPER,181.9,1.06,186.6,180.5,181.9,100112.0,merolagani_daily,2025-11-26 00:39:42
2025-11-26,USHEC,492.0,-0.18,494.0,483.2,492.0,27814.0,merolagani_daily,2025-11-26 00:39:42
2025-11-26,USHL,691.0,-0.3,691.0,674.0,683.0,2684.0,merolagani_daily,2025-11-26 00:39:42
2025-11-26,USLB,1809.0,-0.88,1850.0,1788.6,1850.0,7310.0,merolagani_daily,2025-11-26 00:39:42
2025-11-26,VLBS,800.0,0.0,800.0,793.2,796.0,1231.0,merolagani_daily,2025-11-26 00:39:42
2025-11-26,VLUCL,565.0,-0.35,578.3,555.7,578.0,7178.0,merolagani_daily,2025-11-26 00:39:42
2025-11-26,WNLB,2019.0,-0.54,2019.0,1991.0,2001.1,513.0,merolagani_daily,2025-11-26 00:39:42
