date,symbol,open,high,low,close,volume,change_percent,source,timestamp,RSI,MA50,MACD,MACD_Signal,Prev_Volume,RSI_OK,MA_OK,MACD_OK,VOLUME_OK,Recommendation,Buy_Signal,check_rsi,check_ma,check_macd,check_volume
2025-11-27,MPFL,565.4,565.4,565.4,565.4,10.0,1.87,merolagani_daily,2025-11-27 11:13:44,68.737776056193,529.564,6.029420919241943,3.6583962589499768,3174.0,True,True,True,False,BUY,True,True,True,True,True
2025-11-27,MSLB,1634.0,1529.0,1634.0,1550.0,960.0,-3.85,merolagani_daily,2025-11-27 11:13:44,70.11325928290415,1359.542,40.82623934788603,20.97932634650722,47596.0,True,True,True,False,BUY,True,True,True,True,True
2025-11-27,NABBC,929.0,892.8,892.8,911.0,30828.0,0.0,merolagani_daily,2025-11-27 11:13:44,80.72845156050634,780.1039999999999,33.93890888129715,25.078416371057507,18089.0,True,True,True,True,BUY,True,True,True,True,True
2025-11-27,NABIL,517.0,511.0,511.0,513.0,242.0,0.39,merolagani_daily,2025-11-27 11:13:44,61.005126559436036,508.702,0.662007991250448,-0.29221657272531787,35156.0,True,True,True,False,BUY,True,True,True,True,True
2025-11-27,NADEP,820.0,810.0,810.0,810.0,1005.0,1.25,merolagani_daily,2025-11-27 11:13:44,71.45653970768296,749.936,10.039311346329896,2.8993354576203987,3010.0,True,True,True,False,BUY,True,True,True,True,True
2025-11-27,NBL,249.5,246.0,246.0,249.5,500.0,1.46,merolagani_daily,2025-11-27 11:13:44,67.1678149003275,243.938,-0.04693252681096283,-1.4835962767957025,35427.0,True,True,True,False,BUY,True,True,True,True,True
2025-11-27,NGPL,407.0,403.6,407.0,403.6,6937.0,-0.44,merolagani_daily,2025-11-27 11:13:44,73.80122269999977,373.056,6.51011528918707,2.9786494837288937,359347.0,True,True,True,False,BUY,True,True,True,True,True
2025-11-27,NICA,328.9,321.0,328.9,321.6,747.0,-1.35,merolagani_daily,2025-11-27 11:13:44,60.77023025160819,316.48600000000005,0.20811627604587102,-1.8841005536317608,98559.0,True,True,True,False,BUY,True,True,True,True,True
2025-11-27,NICLBSL,572.0,572.0,572.0,572.0,10.0,-1.55,merolagani_daily,2025-11-27 11:13:44,63.510041135619865,552.102,4.764278684095757,1.6116163629963252,27227.0,True,True,True,False,BUY,True,True,True,True,True
2025-11-27,NIFRA,286.9,283.0,286.0,284.0,4233.0,-0.7,merolagani_daily,2025-11-27 11:13:44,64.34415941692544,269.19,4.347248455263241,2.716454238850848,245933.0,True,True,True,False,BUY,True,True,True,True,True
2025-11-27,NLIC,843.3,841.1,843.0,843.3,3716.0,-0.34,merolagani_daily,2025-11-27 11:13:44,64.43237253433576,789.308,14.247905354787804,10.73302045862635,105616.0,True,True,True,False,BUY,True,True,True,True,True
